,accuracy,precision,recall,f1
80,0.4304059820376316,0.27557715714765646,0.4304059820376316,0.32318940924874073
81,0.43082253017434063,0.27555775371950014,0.43082253017434063,0.3232195765601032
82,0.4304974194334945,0.27658061945532775,0.4304974194334945,0.3234600334934393
83,0.4326411183809485,0.27880014611728365,0.4326411183809485,0.3260864162227689
84,0.43457146340472225,0.28081936309744887,0.43457146340472225,0.3279187575605738
85,0.4262912992237981,0.27560071159466865,0.4262912992237981,0.318562677269411
86,0.42592554964034623,0.2743791579653223,0.42592554964034623,0.3182378025426713
87,0.4256715568740602,0.2733597385610527,0.4256715568740602,0.31787613056859354
88,0.42602714674686065,0.2739307360398424,0.42602714674686065,0.3184539224276917
89,0.43023326695655706,0.27684277894602827,0.43023326695655706,0.32359848791747625
90,0.431360994838867,0.27793180217449187,0.431360994838867,0.3247213530941747
91,0.4283130816434348,0.2758211794829529,0.4283130816434348,0.3215001734926863
92,0.4311578006258382,0.27807774401087115,0.4311578006258382,0.32480884081824285
93,0.42977607997724226,0.2777998504712278,0.42977607997724226,0.3231029879665079
94,0.42405616288048115,0.27402824294770467,0.42405616288048115,0.3165215917723049
95,0.4258849107977405,0.2754226527151527,0.4258849107977405,0.3183177431421929
96,0.4243609542000244,0.2736457440413399,0.4243609542000244,0.3167958472731725
97,0.4472101434551144,0.2880591778904445,0.4472101434551144,0.3480724206269118
98,0.44903889137237374,0.29165820647891366,0.44903889137237374,0.35298384875432576
99,0.4434612102247328,0.2885249379385418,0.4434612102247328,0.34923096858827063
100,0.4373653838338684,0.287888956437613,0.4373653838338684,0.3471909748091074
101,0.42787621408542287,0.28174048664662327,0.42787621408542287,0.33973527022097133
102,0.4208660137359288,0.27570273005301515,0.4208660137359288,0.33308550129038306
103,0.422461088308205,0.2786262889576757,0.422461088308205,0.3357748622103099
104,0.42767301987239403,0.28358410220386426,0.42767301987239403,0.3410334887214556
105,0.4294916080790019,0.2858780657594445,0.4294916080790019,0.34325856461074733
106,0.43152355020929006,0.28805001769242217,0.43152355020929006,0.34545074211916144
107,0.43624781566220994,0.2943631948228386,0.43624781566220994,0.35129054102367624
108,0.44170358028203355,0.30130341877619493,0.44170358028203355,0.35754146119884456
109,0.4413886292518389,0.3022471467953181,0.4413886292518389,0.3578772631684902
110,0.43865566708660136,0.29990480052365287,0.43865566708660136,0.3554334755482542
111,0.4370402730930223,0.29752371984940673,0.4370402730930223,0.35345072078576345
112,0.4427297110578291,0.30325677637128967,0.4427297110578291,0.3589991248474131
113,0.44660056081602795,0.30704651819116763,0.44660056081602795,0.3626440921609473
114,0.4437863209655789,0.30443443960157035,0.4437863209655789,0.36005248234999626
115,0.4450258056650547,0.30560157539726707,0.4450258056650547,0.3611807261218572
116,0.44560490917218676,0.3063714797784596,0.44560490917218676,0.3618265127714626
117,0.4444365424472711,0.30572908378508296,0.4444365424472711,0.3609604995415037
118,0.44725078229772014,0.3076083853976616,0.44725078229772014,0.3632068493319979
119,0.4486833014995733,0.3093981770956498,0.4486833014995733,0.36473577633062626
120,0.44884585686999634,0.3096183103962714,0.44884585686999634,0.36493645400579067
121,0.4481854756776527,0.3089739843584777,0.4481854756776527,0.3643235665610054
122,0.449760230828626,0.31036271409526645,0.449760230828626,0.36573773840535845
123,0.44750477506400616,0.3081656846341851,0.44750477506400616,0.36362092643125027
124,0.4478298858048523,0.308054695612002,0.4478298858048523,0.36371674622517897
125,0.45034949404640956,0.3107055786479394,0.45034949404640956,0.3661716582084427
126,0.4503901328890153,0.3115901837349055,0.4503901328890153,0.3665943987577409
127,0.450105660990775,0.31054197698587765,0.450105660990775,0.3659777346554072
128,0.451050514081359,0.311149095238122,0.451050514081359,0.36672552039690265
129,0.45177185353761123,0.3119701365010222,0.45177185353761123,0.3674754410837923
130,0.4516702564310968,0.3122481092097272,0.4516702564310968,0.3675543413117068
131,0.4509285975535417,0.3116219283068088,0.4509285975535417,0.366921598041179
132,0.44969927256471737,0.31060506748029554,0.44969927256471737,0.365859158627393
133,0.44670215792254236,0.30678506644197767,0.44670215792254236,0.3626108471724108
134,0.4485105864184988,0.3088610339300587,0.4485105864184988,0.36445488522996083
135,0.4486121835250132,0.3090637884301471,0.4486121835250132,0.3645965809578092
136,0.4471390254805543,0.3071873279031418,0.4471390254805543,0.36300099741677305
137,0.44831755191612144,0.30845628740203485,0.44831755191612144,0.3641857548245399
138,0.4480229203072297,0.30868943764457196,0.4480229203072297,0.36415760426423616
139,0.44759621245986914,0.30724618172574514,0.44759621245986914,0.3632700169760813
140,0.4460620961515016,0.30595731783066815,0.4460620961515016,0.3619229847396432
141,0.44530011785264356,0.30488834798259834,0.44530011785264356,0.36102380934082784
142,0.44514772219287196,0.30465897294581346,0.44514772219287196,0.3608222108893646
143,0.44551347177632383,0.30555937694157487,0.44551347177632383,0.3614445034347259
144,0.4459706587556386,0.30521508769597006,0.4459706587556386,0.36147754111892233
145,0.4469358312675255,0.305939706686766,0.4469358312675255,0.3622777561940812
146,0.44669199821189093,0.3057436583682987,0.44669199821189093,0.36207759706280046
147,0.4462856097858333,0.3057021329925456,0.4462856097858333,0.36187194915346776
148,0.4463364083390905,0.30540526310102445,0.4463364083390905,0.36175349300513204
149,0.4446600560816028,0.30366603954671006,0.4446600560816028,0.3600998723320416
150,0.4430853009306295,0.30173837188843106,0.4430853009306295,0.35836482031797073
151,0.44340025196082417,0.30199270153070235,0.44340025196082417,0.3586373947601347
152,0.4434104116714756,0.30261988504104803,0.4434104116714756,0.358984314772813
153,0.44334945340756693,0.30178003024177374,0.44334945340756693,0.3584999561646389
154,0.4437863209655789,0.3018603147290613,0.4437863209655789,0.3587270228382451
155,0.446163693258016,0.3038099522496163,0.446163693258016,0.3608267143702538
156,0.4466513593692852,0.3039026052617422,0.4466513593692852,0.3610816397570782
157,0.4480229203072297,0.3048785934012007,0.4480229203072297,0.36221239355313595
158,0.44831755191612144,0.30507111633235573,0.44831755191612144,0.3624493067669508
159,0.4471898240338115,0.3037276283005634,0.4471898240338115,0.36122125897417684
160,0.4458589019384728,0.3019201993039997,0.4458589019384728,0.3596202995996402
